value
2.0010E+5
160079
115652.2563255554013
115394
94603.5144115023383
8.800E+4
70999
70001
6.075E+4
6.000E+4
5.700E+4
53001.5942587398857
5.000E+4
4.647E+4
37662
36872.471
30899
30775
28669.4791513434159
27775
25808
25607
25507
2.500E+4
2.500E+4
24532
24338
24136.4503
2.316E+4
22197.619658143903
2.200E+4
2.120E+4
2.100E+4
20652.2778537970832
20007
19549
18912.32195
1.839E+4
1.700E+4
1.626E+4
16021.9758636136472
1.580E+4
1.556E+4
15410.0685
14993.25
1.470E+4
13507.2187183613293
13351
13099.5
13018
12905
1.221E+4
12051
1.170E+4
11531.9796735609869
11343
11199.99
1.105E+4
11003
10999
10945
10661
10623
1.050E+4
10207.868768357696
10195.4895869655261
1.001E+4
10007
10001
1.000E+4
1.000E+4
1.000E+4
1.000E+4
9975
9940.9
9735
9.28E+3
9256.5
9.10E+3
8997
8698
8499
8497.5
8.00E+3
8.00E+3
7969.1304152628038
7912.0255114823034
7.83E+3
7826
7412.0703802008972
7397.9872813864548
7.00E+3
7.00E+3
6922
6786.3316508767312
6727.2865495181223
6.60E+3
6.60E+3
6503
6400.082171759
6.06E+3
6045
6.00E+3
6.00E+3
6.00E+3
5992.2491
5938
5.80E+3
5781
5775.5
5612.53262433
5.60E+3
5.60E+3
5593.9
5547.2170415003106
5.52E+3
5.50E+3
5433.5187474828349
5419.6802564468363
5374
5278.6734955127034
5230.6167461970762
5192
5180.6105842546719
5112
5.00E+3
5.00E+3
5.00E+3
5.00E+3
5.00E+3
5.00E+3
5.00E+3
5.00E+3
5.00E+3
5.00E+3
5.00E+3
5.00E+3
4999.5
4935
4901
4895
4877.4465308266289
4834.9045652069134
4.80E+3
4775
4.70E+3
4683.5228280419035
4635
4.61E+3
4546.79619244
4455.6
4438
4.33E+3
4299.9128287631375
4234
4218
4.20E+3
4159.4081802302221
4.06E+3
4016
4.01E+3
4006
4.00E+3
4.00E+3
4.00E+3
4.00E+3
3975
3962
3939
3909
3807.8947436739237
3.71E+3
3702
3699
3.68E+3
3627.5516069483337
3.60E+3
3581.7
3559
3550.9
3.50E+3
3.50E+3
3499
3493
3.47E+3
3377
3371
3360.4171908424661
3337
3299.1240631077581
3298
3262.85
3246
3225
3215.175171882887
3.20E+3
3189.431650409027
3183.7177831070081
3.11E+3
3082
3067
3.06E+3
3.05E+3
3019.6
3005
3001
3.00E+3
3.00E+3
3.00E+3
3.00E+3
3.00E+3
2999
2997
2977.4491283804833
2962
2.95E+3
2.95E+3
2937.5
2925
2.90E+3
2831.2299516628002
2.75E+3
2745
2.70E+3
2699
2689
2.67E+3
2665
2665
2635
2.63E+3
2.60E+3
2.60E+3
2.60E+3
2599.9
2587
2575
2571.8593122808834
2.57E+3
2557
2555.928651
2546.6
2.54E+3
2.54E+3
2530.5
2527
2.50E+3
2.50E+3
2.50E+3
2.50E+3
2.50E+3
2.50E+3
2.50E+3
2.50E+3
2.46E+3
2443
2425
2408.8711568688046
2377.5
2348.9596461890065
2348.837789
2.32E+3
2303
2244.7
2242
2235.4255314805881
2231.0014323685673
2218.8835986540046
2214
2.20E+3
2.20E+3
2199
2199
2175
2.17E+3
2111
2079
2060.35
2021.1173100260542
2016
2012
2005
2000.49
2000.445
2.00E+3
2.00E+3
2.00E+3
2.00E+3
2.00E+3
2.00E+3
2.00E+3
2.00E+3
2.00E+3
1999.9
1999
1994.9
1.99E+3
1989.9877583764818
1984.9894390913431
1981
1976.5
1944.5
1944
1937.5
1937
1918
1914
1910.5439575338082
1902.0827296493969
1.90E+3
1.90E+3
1899.5
1875
1.87E+3
1869.4423144682616
1862
1858
1.85E+3
1822.7029177660207
1822
1.82E+3
1806.1893666576054
1804
1.80E+3
1.80E+3
1797.6628919741114
1797.077
1797
1774
1763
1749.9976448212069
1742
1.74E+3
1735
1720.9698597298729
1.72E+3
1711.7530563002982
1.71E+3
1705
1704
1699.5
1691.324
1691
1690.8
1674
1672
1669
1666
1663
1651
1646
1646
1627.8346431804197
1619.7
1602.0490874724895
1586.420467554643
1580.0826313922716
1569
1568.7383448796912
1.55E+3
1549.1
1508.7450554842704
1505
1503.8
1501
1.50E+3
1.50E+3
1.50E+3
1.50E+3
1.50E+3
1.50E+3
1.50E+3
1.50E+3
1499.9
1496.6060038080049
1493
1489.7648089579383
1481
1476
1462.4752
1455
1448
1433.7924384276957
1408.5693154561873
1402.7259864986593
1.40E+3
1.40E+3
1.40E+3
1.40E+3
1.40E+3
1.40E+3
1399.983481792676
1399
1395
1.39E+3
1367.5789441146573
1365
1363
1359.4898629732895
1349
1332
1326.6207726733748
1320.4024546214971
1317.8385598127423
1315
1306.7647609643753
1305.4676037014221
1301
1.30E+3
1.30E+3
1.30E+3
1.30E+3
1289.2866953021659
1283
1278.88
1275
1251
1.25E+3
1.25E+3
1.25E+3
1.25E+3
1246.5934884617704
1239.9469185529821
1235
1235
1230.08207398
1230.076838956102
1229
1224
1213
1212.33
1208.8888
1207
1.20E+3
1.20E+3
1.20E+3
1.20E+3
1195
1188.5
1184.659
1182.1382302430166
1181
1173.6838348497728
1166
1166
1165
1165
1154
1151
1143.25
1132.2001200360298
1130.4
1.13E+3
1128
1125.84680852703
1124.8980964183251
1115
1100.1
1.10E+3
1.10E+3
1099.9
1099.9
1093
1.09E+3
1088.9533560837901
1080.6457921198949
1080.6372335503962
1075
1074.9985548365758
1055.6651184347284
1050.2
1049.2383997230608
1049
1044
1.04E+3
1035
1032
1024
1021.289569802052
1021
